id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,schema drift,112,39,23,52,285,ship,baseline,monotonic-signal
g002,lineage depth,78,28,37,45,146,watch,edge,drag-penalty
g003,partition skew,108,25,25,90,281,ship,recovery,confidence-floor
g004,quality gap,39,26,41,30,37,hold,negative,lane-boundary
g005,schema drift,96,64,30,90,320,ship,baseline,monotonic-signal
g006,lineage depth,40,16,26,39,73,hold,edge,drag-penalty
g007,partition skew,103,29,4,104,356,ship,recovery,confidence-floor
g008,quality gap,50,73,37,98,233,ship,negative,lane-boundary
g009,schema drift,115,63,13,99,416,ship,baseline,monotonic-signal
g010,lineage depth,107,25,23,104,299,ship,edge,drag-penalty
g011,partition skew,63,44,9,25,212,ship,recovery,confidence-floor
g012,quality gap,88,56,24,33,249,ship,negative,lane-boundary
g013,schema drift,60,64,12,85,297,ship,baseline,monotonic-signal
g014,lineage depth,50,71,8,72,290,ship,edge,drag-penalty
g015,partition skew,92,77,28,70,324,ship,recovery,confidence-floor
g016,quality gap,73,47,19,74,257,ship,negative,lane-boundary
g017,schema drift,111,35,16,80,324,ship,baseline,monotonic-signal
g018,lineage depth,89,66,16,45,307,ship,edge,drag-penalty
g019,partition skew,38,49,17,75,198,ship,recovery,confidence-floor
g020,quality gap,104,43,40,51,225,ship,negative,lane-boundary
g021,schema drift,96,43,11,44,289,ship,baseline,monotonic-signal
g022,lineage depth,96,45,19,89,314,ship,edge,drag-penalty
g023,partition skew,99,14,25,29,180,watch,recovery,confidence-floor
g024,quality gap,60,71,8,89,327,ship,negative,lane-boundary
g025,schema drift,88,72,22,38,292,ship,baseline,monotonic-signal
g026,lineage depth,62,70,10,103,337,ship,edge,drag-penalty
g027,partition skew,52,36,26,97,195,ship,recovery,confidence-floor
g028,quality gap,51,57,15,98,269,ship,negative,lane-boundary
g029,schema drift,54,70,11,103,318,ship,baseline,monotonic-signal
g030,lineage depth,59,44,31,24,137,watch,edge,drag-penalty
g031,partition skew,109,33,22,32,250,ship,recovery,confidence-floor
g032,quality gap,65,30,40,84,154,watch,negative,lane-boundary
g033,schema drift,31,31,8,71,171,watch,baseline,monotonic-signal
g034,lineage depth,61,69,36,69,221,ship,edge,drag-penalty
g035,partition skew,80,21,9,73,248,ship,recovery,confidence-floor
g036,quality gap,49,34,39,79,128,watch,negative,lane-boundary
g037,schema drift,81,8,35,44,117,watch,baseline,monotonic-signal
g038,lineage depth,56,68,13,74,283,ship,edge,drag-penalty
g039,partition skew,91,30,4,50,280,ship,recovery,confidence-floor
g040,quality gap,68,49,43,43,148,watch,negative,lane-boundary
g041,schema drift,60,61,43,88,201,ship,baseline,monotonic-signal
g042,lineage depth,104,69,44,28,242,ship,edge,drag-penalty
g043,partition skew,41,76,25,88,247,ship,recovery,confidence-floor
g044,quality gap,101,12,38,37,149,watch,negative,lane-boundary
g045,schema drift,91,52,4,102,376,ship,baseline,monotonic-signal
g046,lineage depth,45,40,10,96,236,ship,edge,drag-penalty
g047,partition skew,114,71,35,97,362,ship,recovery,confidence-floor
g048,quality gap,64,54,7,102,317,ship,negative,lane-boundary
g049,schema drift,42,48,37,23,92,hold,baseline,monotonic-signal
g050,lineage depth,79,48,11,31,252,ship,edge,drag-penalty
g051,partition skew,57,50,42,83,171,watch,recovery,confidence-floor
g052,quality gap,49,19,38,70,92,hold,negative,lane-boundary
g053,schema drift,49,76,16,68,270,ship,baseline,monotonic-signal
g054,lineage depth,52,77,7,72,309,ship,edge,drag-penalty
g055,partition skew,101,75,25,78,355,ship,recovery,confidence-floor
g056,quality gap,41,41,35,43,102,hold,negative,lane-boundary
g057,schema drift,103,62,21,73,340,ship,baseline,monotonic-signal
g058,lineage depth,93,75,36,49,277,ship,edge,drag-penalty
g059,partition skew,92,49,24,42,252,ship,recovery,confidence-floor
g060,quality gap,95,38,20,87,293,ship,negative,lane-boundary
g061,schema drift,100,35,40,27,177,watch,baseline,monotonic-signal
g062,lineage depth,62,36,31,87,190,watch,edge,drag-penalty
g063,partition skew,106,74,28,36,312,ship,recovery,confidence-floor
g064,quality gap,72,26,28,101,213,ship,negative,lane-boundary
g065,schema drift,102,39,29,95,290,ship,baseline,monotonic-signal
g066,lineage depth,33,13,10,96,158,watch,edge,drag-penalty
g067,partition skew,90,73,23,101,358,ship,recovery,confidence-floor
g068,quality gap,34,35,31,22,67,hold,negative,lane-boundary
g069,schema drift,97,54,37,30,221,ship,baseline,monotonic-signal
g070,lineage depth,44,66,20,82,242,ship,edge,drag-penalty
g071,partition skew,109,74,34,69,333,ship,recovery,confidence-floor
g072,quality gap,101,11,22,67,225,ship,negative,lane-boundary
g073,schema drift,57,17,38,71,105,watch,baseline,monotonic-signal
g074,lineage depth,82,57,27,77,274,ship,edge,drag-penalty
g075,partition skew,54,45,23,42,171,watch,recovery,confidence-floor
g076,quality gap,44,76,43,72,183,watch,negative,lane-boundary
g077,schema drift,86,59,34,48,236,ship,baseline,monotonic-signal
g078,lineage depth,67,53,10,41,251,ship,edge,drag-penalty
g079,partition skew,105,53,20,86,342,ship,recovery,confidence-floor
g080,quality gap,83,55,6,26,284,ship,negative,lane-boundary
g081,schema drift,32,24,21,86,135,watch,baseline,monotonic-signal
g082,lineage depth,98,11,9,35,226,ship,edge,drag-penalty
g083,partition skew,90,12,5,100,289,ship,recovery,confidence-floor
g084,quality gap,90,10,25,94,219,ship,negative,lane-boundary
g085,schema drift,93,46,16,95,325,ship,baseline,monotonic-signal
g086,lineage depth,54,67,13,100,303,ship,edge,drag-penalty
g087,partition skew,82,10,13,21,166,watch,recovery,confidence-floor
g088,quality gap,56,54,14,29,207,ship,negative,lane-boundary
g089,schema drift,46,43,37,81,148,watch,baseline,monotonic-signal
g090,lineage depth,45,40,8,68,214,ship,edge,drag-penalty
g091,partition skew,48,41,16,66,196,ship,recovery,confidence-floor
g092,quality gap,53,9,22,70,128,watch,negative,lane-boundary
g093,schema drift,103,31,5,76,329,ship,baseline,monotonic-signal
g094,lineage depth,59,44,19,41,190,watch,edge,drag-penalty
g095,partition skew,113,18,7,71,312,ship,recovery,confidence-floor
g096,quality gap,55,8,23,47,104,watch,negative,lane-boundary
